@RELATION bolas

@ATTRIBUTE tamanho NUMERIC
@ATTRIBUTE cor {branca, laranja, amarela}
@ATTRIBUTE tipo_bola {Tênis, Basquete, Futebol}

@DATA
31,branca,Futebol
83,amarela,Tênis
50,laranja,Basquete
68,laranja,Basquete
76,amarela,Basquete
33,laranja,Basquete
124,laranja,Basquete
61,laranja,Basquete
66,amarela,Futebol
27,branca,Futebol
60,amarela,Basquete
51,laranja,Basquete
35,amarela,Basquete
115,branca,Basquete
32,amarela,Basquete
112,amarela,Tênis
55,amarela,Futebol
50,laranja,Futebol
62,branca,Basquete
53,branca,Tênis
42,amarela,Tênis
24,branca,Futebol
42,amarela,Futebol
87,branca,Tênis
111,amarela,Futebol
120,branca,Basquete
63,laranja,Tênis
34,laranja,Basquete
72,branca,Basquete
105,branca,Futebol
74,laranja,Basquete
89,branca,Tênis
30,amarela,Basquete
142,branca,Futebol
59,amarela,Basquete
24,amarela,Basquete
41,laranja,Basquete
40,laranja,Tênis
54,laranja,Tênis
25,amarela,Tênis
79,laranja,Basquete
20,laranja,Futebol
145,amarela,Basquete
123,amarela,Basquete
115,laranja,Futebol
23,amarela,Tênis
44,branca,Futebol
52,laranja,Futebol
50,branca,Basquete
103,branca,Tênis
62,branca,Futebol
74,laranja,Futebol
88,branca,Futebol
50,amarela,Basquete
134,amarela,Futebol
52,branca,Tênis
31,amarela,Futebol
37,amarela,Tênis
119,laranja,Tênis
92,amarela,Basquete
76,laranja,Basquete
145,branca,Tênis
107,branca,Basquete
32,amarela,Tênis
63,branca,Basquete
51,amarela,Futebol
100,laranja,Basquete
95,laranja,Basquete
47,laranja,Futebol
140,laranja,Basquete
48,laranja,Basquete
92,amarela,Futebol
63,amarela,Basquete
59,branca,Tênis
61,branca,Basquete
58,amarela,Futebol
25,amarela,Tênis
129,amarela,Futebol
82,laranja,Futebol
132,amarela,Futebol
81,laranja,Tênis
26,branca,Futebol
87,branca,Futebol
132,amarela,Futebol
80,amarela,Basquete
95,amarela,Tênis
73,amarela,Tênis
57,branca,Basquete
97,laranja,Futebol
21,laranja,Basquete
66,laranja,Futebol
150,branca,Basquete
127,branca,Futebol
45,laranja,Tênis
43,laranja,Basquete
73,branca,Tênis
99,amarela,Futebol
