@RELATION bolas

@ATTRIBUTE tamanho NUMERIC
@ATTRIBUTE cor {branca, laranja, amarela}
@ATTRIBUTE tipo_bola {Tênis, Basquete, Futebol}

@DATA
112,laranja,Tênis
114,branca,Tênis
67,laranja,Basquete
97,amarela,Tênis
58,laranja,Futebol
61,laranja,Tênis
142,branca,Futebol
75,laranja,Basquete
69,amarela,Futebol
42,laranja,Futebol
38,amarela,Tênis
127,laranja,Tênis
55,laranja,Basquete
77,amarela,Tênis
130,branca,Basquete
132,branca,Basquete
43,laranja,Futebol
75,amarela,Basquete
122,branca,Tênis
68,branca,Basquete
45,branca,Futebol
43,amarela,Tênis
114,branca,Tênis
132,amarela,Tênis
149,branca,Futebol
134,laranja,Basquete
135,laranja,Tênis
85,branca,Futebol
104,laranja,Futebol
66,laranja,Tênis
80,laranja,Futebol
94,laranja,Basquete
98,branca,Basquete
90,branca,Basquete
64,branca,Futebol
118,laranja,Futebol
141,laranja,Futebol
121,amarela,Basquete
91,laranja,Basquete
44,amarela,Tênis
49,laranja,Futebol
113,laranja,Tênis
119,laranja,Futebol
120,branca,Futebol
111,branca,Futebol
45,branca,Basquete
100,amarela,Tênis
80,branca,Tênis
109,laranja,Tênis
41,branca,Tênis
34,branca,Basquete
99,laranja,Tênis
104,laranja,Tênis
46,branca,Tênis
27,amarela,Tênis
136,branca,Futebol
36,branca,Basquete
109,branca,Tênis
88,branca,Basquete
65,laranja,Tênis
52,amarela,Basquete
62,laranja,Tênis
144,laranja,Basquete
35,laranja,Futebol
131,branca,Basquete
59,branca,Futebol
114,amarela,Futebol
40,laranja,Futebol
66,laranja,Basquete
78,amarela,Tênis
102,amarela,Futebol
34,amarela,Futebol
72,laranja,Tênis
63,branca,Tênis
123,laranja,Futebol
41,branca,Tênis
40,laranja,Futebol
30,branca,Futebol
76,laranja,Tênis
35,laranja,Futebol
81,laranja,Tênis
46,laranja,Basquete
80,branca,Basquete
53,laranja,Tênis
65,laranja,Futebol
90,branca,Basquete
106,branca,Futebol
117,branca,Basquete
22,laranja,Tênis
71,amarela,Basquete
60,amarela,Basquete
81,laranja,Basquete
65,branca,Tênis
81,laranja,Basquete
102,branca,Futebol
119,laranja,Futebol
35,laranja,Basquete
95,laranja,Futebol
49,amarela,Futebol
34,laranja,Tênis
136,laranja,Futebol
45,branca,Basquete
81,branca,Basquete
88,laranja,Tênis
134,branca,Tênis
65,branca,Tênis
55,amarela,Tênis
101,branca,Tênis
123,amarela,Futebol
52,amarela,Basquete
82,branca,Futebol
104,branca,Tênis
120,amarela,Basquete
20,laranja,Futebol
131,branca,Basquete
75,amarela,Basquete
68,branca,Basquete
91,branca,Futebol
149,branca,Tênis
117,branca,Basquete
45,amarela,Basquete
73,laranja,Futebol
28,laranja,Basquete
104,amarela,Futebol
34,amarela,Futebol
44,amarela,Basquete
57,amarela,Tênis
93,laranja,Basquete
127,amarela,Futebol
141,laranja,Basquete
76,amarela,Futebol
38,amarela,Futebol
71,amarela,Futebol
40,laranja,Basquete
28,laranja,Futebol
110,branca,Tênis
54,laranja,Basquete
24,branca,Basquete
107,amarela,Tênis
52,amarela,Tênis
125,branca,Basquete
127,laranja,Basquete
113,branca,Tênis
148,branca,Tênis
50,branca,Basquete
107,amarela,Futebol
113,branca,Futebol
37,branca,Futebol
123,branca,Tênis
25,laranja,Futebol
48,laranja,Tênis
69,amarela,Tênis
30,laranja,Basquete
62,amarela,Futebol
87,amarela,Tênis
50,amarela,Futebol
115,amarela,Tênis
124,branca,Futebol
46,branca,Futebol
82,branca,Tênis
135,branca,Basquete
52,branca,Basquete
60,amarela,Futebol
76,amarela,Tênis
111,laranja,Tênis
22,branca,Basquete
50,branca,Basquete
95,branca,Basquete
132,laranja,Tênis
144,laranja,Basquete
72,laranja,Basquete
53,branca,Basquete
112,branca,Tênis
74,laranja,Futebol
53,amarela,Basquete
106,amarela,Tênis
121,branca,Basquete
72,laranja,Tênis
86,amarela,Basquete
99,amarela,Tênis
96,amarela,Tênis
31,amarela,Futebol
50,branca,Basquete
32,amarela,Basquete
41,laranja,Futebol
88,branca,Basquete
134,amarela,Basquete
69,branca,Tênis
50,amarela,Basquete
132,branca,Tênis
48,laranja,Tênis
52,branca,Tênis
116,amarela,Tênis
30,branca,Futebol
117,amarela,Tênis
119,branca,Futebol
120,branca,Futebol
65,amarela,Tênis
98,branca,Futebol
43,branca,Basquete
21,laranja,Futebol
41,amarela,Futebol
57,laranja,Basquete
111,amarela,Tênis
79,laranja,Tênis
128,laranja,Futebol
91,laranja,Basquete
122,amarela,Futebol
44,laranja,Basquete
59,amarela,Basquete
103,branca,Basquete
62,branca,Tênis
124,laranja,Futebol
121,branca,Tênis
146,amarela,Tênis
139,amarela,Basquete
57,laranja,Futebol
113,laranja,Basquete
22,branca,Futebol
20,amarela,Basquete
83,amarela,Futebol
30,branca,Tênis
82,laranja,Tênis
20,branca,Basquete
46,branca,Futebol
87,amarela,Futebol
55,branca,Tênis
60,amarela,Futebol
114,laranja,Basquete
104,branca,Tênis
100,laranja,Futebol
26,laranja,Futebol
108,laranja,Futebol
133,branca,Basquete
108,amarela,Tênis
91,laranja,Tênis
76,laranja,Basquete
94,branca,Tênis
66,amarela,Basquete
140,laranja,Tênis
143,amarela,Futebol
122,laranja,Futebol
98,laranja,Basquete
105,branca,Tênis
131,amarela,Tênis
60,branca,Basquete
126,branca,Basquete
28,branca,Tênis
38,branca,Tênis
66,branca,Tênis
64,branca,Tênis
101,laranja,Basquete
24,amarela,Tênis
119,branca,Basquete
43,branca,Basquete
114,amarela,Basquete
86,amarela,Futebol
116,amarela,Futebol
58,laranja,Tênis
32,branca,Basquete
66,amarela,Basquete
77,laranja,Futebol
86,laranja,Futebol
87,amarela,Basquete
149,branca,Futebol
123,laranja,Tênis
74,amarela,Futebol
43,amarela,Tênis
119,amarela,Tênis
107,branca,Basquete
37,laranja,Tênis
144,branca,Basquete
39,branca,Tênis
89,branca,Futebol
144,branca,Tênis
140,amarela,Futebol
149,amarela,Tênis
57,laranja,Basquete
102,laranja,Futebol
68,amarela,Tênis
83,laranja,Tênis
81,branca,Basquete
93,branca,Futebol
128,amarela,Futebol
25,amarela,Basquete
88,laranja,Futebol
120,amarela,Tênis
61,laranja,Futebol
22,amarela,Tênis
120,amarela,Tênis
113,branca,Tênis
27,amarela,Futebol
88,amarela,Tênis
